name,rank,area,profile,homepage
"Carpendale, Sheelagh",Professor | Canada Research Chair,"Information Visualization, Interaction Design, Large Display Interaction, Visual Analytics, Personal Visualization, Human Computer Interaction, Interactive Technologies, Collaborative Interaction, Open Data, Data Empowerment, Research Methodologies",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/sheelagh-carpendale.html,https://www.cs.sfu.ca/~sheelagh/
"Chan, Bobby",Lecturer,"Discrete Mathematics, Web Application Development, Computer Design, Assembly Language Programming, Theoretical Computing Science, Software Engineering",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/bobby-chan.html,
"Chang, Angel",Associate Professor | Canada CIFAR AI Chair,"Natural language processing, Grounded natural language understanding, Linking natural language with visual and 3D representations, Common sense reasoning for artificial intelligence, Multimodal grounding of natural language",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/angel-chang.html,https://angelxuanchang.github.io/
"Chen, Mo",Associate Professor | Canada CIFAR AI Chair,"Multi-robot systems, Safety-critical systems, Motion planning, Control theory, Computational methods, Robotics, ​Dynamical systems ​modeling, Optimization, Numerical analysis",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/mo-chen.html,https://sfumars.com/
"Chen, WUYANG",Assistant Professor,"Deep Learning, Scientific Machine Learning, Computer Vision",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/wuyang-chen.html,https://chenwydj.github.io/
"Cheung, Victor",Lecturer,"Human-Computer Interaction, and interaction & interface design, Physical computing, interactive media, and game design & development, Programming languages, Algorithms and data structures",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/victor_cheung.html,
"Chilana, Parmit",Associate Professor | Ebco/Eppich Chair,"Research Interest:, human-computer interaction, design of interactive systems, crowdsourcing/ social computing, Teaching Interests:, user-centered design, research methods, intro programming",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/parmit-chilana.html,https://hci.cs.sfu.ca/
"Cukierman, Diana",University Lecturer | Faculty Teaching Fellow,"Research Interests:, Computing Science Education, Learning strategies tailored to CS and STEM disciplines (see Academic Enhancement Program), Pedagogy, active learning, communication skills, Artificial Intelligence, Teaching Interests:, Introductory programming, Computing Science and Ethics, Artificial Intelligence, Discrete math, Introductory computer architecture",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/diana-cukierman.html,
"D'Arcy, Ryan",Professor,"My research is driven fundamentally by the interface between neuroscience and non-invasive biomedical imaging. The work blends basic studies of complex neural systems with clinical work that uses functional imaging to improve the treatment of brain diseases and disorders., Neuroscience, Systems neuroscience, cognitive neuroscience, clinical neuroscience, and neuropsychology, Imaging, High field magnetic resonance imaging (MRI), functional MRI, magnetoencephalography (MEG), high density electroencephalography (EEG), evoked potentials (EPs), event-related brain potentials (ERPs), source analysis, and transcranial magnetic stimulation (TMS), Clinical, Brain injury, epilepsy, brain tumours, stroke, Alzheimer’s disease, multiple sclerosis, Translational, Medical devices and imaging software",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/ryan-darcy.html,https://healthandtechnologydistrict-brainnet.ca/
"Donaldson, Toby",Senior Lecturer Associate,,https://www.sfu.ca/fas/computing/people/faculty/faculty-members/toby-donaldson.html,
"Edgar, John",Senior Lecturer | Undergrad Program Committee Chair,"Teaching Interests:, Introductory Computing Science and Programming, Data Structures and Algorithms, Database Systems, Research Interests:, Algorithm animations, designing (and playing) games.",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/edgar-john.html,
"Ester, Martin",Distinguished SFU Professor,"Research Interests:, Data mining, Machine learning, Causal discovery, Transfer learning, Knowledge representation and machine learning, Biomedical applications, Teaching Interests:, Database systems, Data mining",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/martin-ester.html,https://sites.google.com/view/esterlab
"Fiume, Eugene",Professor | Dean of Applied Sciences,Computer graphics,https://www.sfu.ca/fas/computing/people/faculty/faculty-members/eugene-fiume.html,https://www.dgp.toronto.edu/~elf/
"Fraser, Brian",Senior Lecturer,"Teaching Interests:, Software engineering, including development methods, object-oriented design, and programming languages, Embedded systems",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/brian-fraser.html,
"Furukawa, Yasutaka",Associate Professor,"Research Interests:, Computer Vision, Deep Learning, Computer Graphics, Computational Photography, Teaching Interests:, Computer Vision, Computer Graphics",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/yasutaka-furukawa.html,https://yasu-furukawa.github.io/
"Glaesser, Uwe",Professor,"Research Interests:, Cyber Security, Maritime Security, Crime Data Analysis, Situational Awareness, Formal Engineering Methods",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/uwe-glasser.html,https://www.cs.sfu.ca/~glaesser/
"Gu, Qianping",Professor,"Research Interests:, Algorithms and computation, Combinatorial optimization in networks, Parallel/distributed computing, Teaching Interests:, Design and analysis of algorithms, Graph algorithms",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/qianping-gu.html,https://www.cs.sfu.ca/~qgu/
"Hamarneh, Ghassan",Professor,"Research Interests:, Medical Image Analysis, Teaching Interests:, Scientific computing, Signal and image processing, Health informatics and biomedical computing, Medical imaging and medical image analysis",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/ghassan-hamarneh.html,https://www.medicalimageanalysis.com/
"Hefeeda, Mohamed",Professor,"Research Interests:, Multimedia networking over wired and wireless networks, Peer-to peer systems, Internet Protocols, Cloud and high-performance computing, Teaching Interests:, Multimedia Systems, Computer Networks, Operating Systems",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/mohamed-hefeeda.html,https://www.cs.sfu.ca/~mhefeeda/
"Kabanets, Valentine",Professor,"Research Interests:, Computational  complexity theory, Pseudorandomness and derandomization, Circuit lower bounds, Logic in complexity theory, Teaching Interests:, Computability and Complexity, Data structures and Algorithms",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/valentine-kabanets.html,https://www.cs.sfu.ca/~kabanets
"Khangura, Harinder Singh",Senior Lecturer,"Teaching Interests:, Computer Organization/Architecture, Operating Systems, Undergraduate writing courses, Research Interests:, The social impact of computers on our lives, such as free speech, privacy, ethics, access, and intellectual property.",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/khangura.html,
"Kim, Lawrence",Assistant Professor,"Research Interests:, Human-Computer Interaction, Tangible User Interfaces, Human-Robot Interaction, Teaching Interests:, Human-Computer Interaction, Physical Computing, Visit my research lab: https://tangent.cs.sfu.ca/",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/lawrence-kim.html,https://www.lhkim.com/
"Ko, Steven","Associate Professor | Associate Director, Research and Industry Relations","Research Interests:, Systems, Software Engineering, Teaching Interests:, Systems, Programming Languages, Software Engineering",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/steven-ko.html,https://steveyko.github.io/
"Lavergne, Anne",Senior Lecturer,"Research Interests, - Computing Science Education, - Teaching and Learning Strategies such as active learning, effective feedback, assessments, Teaching Interests, - Introduction to Computing Science and Software Development using either Python or C and C++, - Data Structures and Programming using C++, - Software Engineering, - Introduction to Computer Systems (Computer Architecture)",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/alavergn.html,https://www.cs.sfu.ca/~alavergn/
"Li, Ke",Assistant Professor | Visual Computing Research Chair,"Research Interests:, Machine Learning (including Deep Learning, Generative Models, Meta-Learning and Reinforcement Learning), Computer Vision, Algorithms, Teaching Interests:, Machine Learning, Deep Learning, Computer Vision",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/keli.html,https://www.sfu.ca/~keli/
"LI, LINYI",Assistant Professor,"Research Interests:, Deep learning, Trustworthy machine learning and computer security, Large language models, Software engineering, Teaching Interests:, Deep learning and large language models, Trustworthy machine learning and computer security, Software engineering and AI",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/linyi-li.html,https://linyil.com/
"Libbrecht, Maxwell",Associate Professor | Michael Smith Health Research Scholar,"Research Interests:, machine learning, probabilistic modeling, unsupervised learning, submodular optimization, genomics, gene regulation, Teaching Interests:, machine learning, probability and statistics, data structures and algorithms, discrete math",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/maxwl.html,https://www.libbrechtlab.com/
"Lim, Angelica",Assistant Professor | Rajan Family Scholar,"Research Interests:, Human Robot Interaction, Affective Computing, Multimodal Perception and Learning, Developmental Robotics, Teaching Interests:, Introduction to Computer Science, Software Engineering, Robotics, Artificial Intelligence",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/angelica-lim.html,https://www.rosielab.ca/
"Liu, Jiangchuan",Professor,"Research Interests:, Internet architecture and protocols, Multimedia content, distribution, and processing, Wireless mobile networking, Cloud computing and big data networking, Online gaming and social networking, Teaching Interests:, Data communications and networking, Multimedia computing",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/jcl-iu.html,https://www.cs.sfu.ca/~jcliu/
