name,rank,area,profile,homepage
"Wang, Jiannan",Associate Professor,"Research Interests:, Database Systems, Data Management, Data Cleaning, Crowdsourcing, Teaching Interests:, Database, Data Science, Big Data",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/jnwang.html,https://www.cs.sfu.ca/~jnwang/
"Wang, Ke",Professor,"Research Interests:, Mining massive datasets, Mining biological data, Graph and network data, Data privacy, Teaching Interests:, Database, Data mining and data privacy, Information retrieval",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/wangk.html,https://www.cs.sfu.ca/~wangk/
"Wang, Tao",Assistant Professor,"Research Interests:, Anonymity networks, Traffic analysis, Privacy enhancing technologies, Teaching Interests:, Computer security and privacy, Discrete mathematics, Machine learning",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/taowang.html,https://www.cs.sfu.ca/~taowang
"Wang, Tianzheng",Associate Professor | Dual Degree and Partnerships Programs Director,"Research Interests:, Database systems, Transaction processing, Synchronization, Parallel and distributed computing, Embedded systems., Teaching Interests:, Databases, Operating systems, Parallel programming",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/tzwang.html,https://www.cs.sfu.ca/~tzwang/
"Wang, Yuepeng",Assistant Professor,"Research Interests:, Program synthesis, Program verification, Programming languages, Formal methods, Teaching Interests:, Programming languages, Formal Verification, Compilers",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/yuepeng.html,https://www.cs.sfu.ca/~yuepeng/
"Wiese, Kay C",Professor | Software Systems Chair and Program Director,"Research Interests:, Bioinformatics and Computational Biology, Evolutionary Computation, Computational Intelligence and Machine Learning, Teaching Interests:, Computational Biology and Bioinformatics, Data Structures and Algorithms, Discrete Mathematics",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/wiese.html,https://www.cs.sfu.ca/~wiese/
"Wu, Jianliang",Assistant Professor,"Research Interests:, Systems Security and Privacy, Formal Analysis, Machine Learning Security and Privacy, Teaching Interests:, Network Security, Software Security, Networks",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/wujl.html,https://allenjlw.github.io/
"Xie, Cynthia",Senior Lecturer,"Intensive Mandarin Chinese courses, Heritage Mandarin courses, Technical reading and writing",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/cxie.html,
"Yang, Xingdong",Associate Professor | Visual Computing Research Chair,"Research Interests:, Human-Computer Interaction, Teaching Interests:, Human-Computer Interaction, Mobile Computing",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/xingdong_yang.html,https://www.sfu.ca/~xingdong/
"Yin, KangKang",Associate Professor,"Research Interests:, computer animation, computer graphics, humanoid robotics, machine learning, multimedia analysis, Teaching Interests:, Computer Animation, Computer Graphics, Scientific Computing, Machine Learning",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/kkyin.html,https://www.cs.sfu.ca/~kkyin/
"Zhang, Richard",Distinguished SFU Professor | Amazon Scholar,"Research Interests:, Geometry processing, Computer graphics, Shape modelling and analysis, Teaching Interests:, Computer graphics, Geometry modeling and processing, Computer animation",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/haoz.html,https://www.cs.sfu.ca/~haoz/
"Atkins, Stella",Professor Emeritus,"Medical Image Display and Analysis, and telehealth issues. This includes MR image segmentation, brain atrophy studies, image registration, denoising and enhancement, and radiology workstation design. Additionally, I am interested in the use of eyetrackers which provide a new imaging modality for seeing inside the brain.",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/stella.html,https://www.cs.sfu.ca/~stella/
"Bhattacharya, Binay",Professor Emeritus,"Design and analysis of geometric algorithms, Approximation algorithms, Resource allocation optimization, Vehicle routing, Transportation scheduling",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/binay.html,https://www.cs.sfu.ca/~binay/
"Burton, Warren",Professor Emeritus,"Research interests include both functional programming and parallel computing, with the primary emphasis being placed on the intersection of these two areas. The overall objective of this work is to contribute to the development of high-level, machine independent languages for parallel programming., Current activities include:, (1) Exploration of methods for permitting nondeterministic behavior in parallel functional programs while retaining deterministic semantics., (2) Consideration of ways to allow complicated multilinked data structures to be updated in place., (3) Study of various scheduling problems that arise with the parallel implementation of functional languages., (4) Development of annotations to control the run-time behavior of parallel functional programs., (5) Various other issues related to the design, implementation and use of functional languages., (6) Various other issues related to the design, implementation and use of languages for parallel computing",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/burton.html,https://www.cs.sfu.ca/~burton/
"Dahl, Veronica",Professor Emeritus,"Research Interests:, Logic programming, logic grammars, computational linguistics and its applications, knowledge bases and intelligent systems, computational molecular biology, high level internet programming, Teaching Interests:, Computational Linguistics, Artificial Intelligence, Computers in the Humanities, Knowledge based systems",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/veronica.html,https://www.cs.sfu.ca/~veronica/
"Delgrande, James",Professor Emeritus,"Research Interests:, Knowledge representation and reasoning, Belief change, Reasoning about action and change, Nonmonotonic reasoning, Preference handling, Teaching Interests:, Knowledge Representation, Artificial Intelligence, Database Systems",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/jim.html,https://www.cs.sfu.ca/~jim/
"Drew, Mark",Professor Emeritus,"Research Interests:, Image processing, colour, computer vision, computer graphics, multimedia, and visualization., Teaching Interests:, Illumination in Imaging and Video, Multimedia Systems",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/mark.html,https://www.cs.sfu.ca/~mark
"Funt, Brian",Professor Emeritus,"Research Interests:, Digital Colour Imaging, Colour Constancy, Colour in Medicine, Colour Perception, Teaching Interests:, Computational Colour Vision, Machine Vision, Computing Science for Science Students Using MATLAB",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/funt.html,https://www.cs.sfu.ca/~funt
